rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
14,14,17,2025-01-25,Yale,,Harvard,REG (Conf),W 84-55,,13,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,0,0,0,1,0,0,0,1,6,4.3,H,1,1,riley-fox-1,Riley Fox,2025
15,15,18,2025-01-31,Yale,@,Princeton,REG (Conf),W 77-70,,13,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,0,2,2,0,0,0,0,1,7,3.5,A,1,1,riley-fox-1,Riley Fox,2025
16,16,19,2025-02-01,Yale,@,Pennsylvania,REG (Conf),W 90-61,,8,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,0,1,1,1,0,0,0,0,4,4.4,A,1,1,riley-fox-1,Riley Fox,2025
17,17,20,2025-02-08,Yale,@,Cornell,REG (Conf),W 103-88,,11,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,1,1,2,0,0,0,0,2,3,2.2,A,1,1,riley-fox-1,Riley Fox,2025
18,18,21,2025-02-14,Yale,,Pennsylvania,REG (Conf),W 72-71,,10,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,1,1,2,1,1,0,1,2,0,-0.5,H,1,1,riley-fox-1,Riley Fox,2025
19,19,22,2025-02-15,Yale,,Princeton,REG (Conf),W 84-57,,11,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,0,1,1,0,0,0,0,1,0,-0.8,H,1,1,riley-fox-1,Riley Fox,2025
20,20,23,2025-02-21,Yale,,Cornell,REG (Conf),W 92-88,,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,0,1,1,1,0,0,0,1,0,-0.1,H,1,1,riley-fox-1,Riley Fox,2025
21,21,24,2025-02-22,Yale,,Columbia,REG (Conf),W 90-64,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,H,1,1,riley-fox-1,Riley Fox,2025
22,22,25,2025-02-28,Yale,@,Dartmouth,REG (Conf),W 72-67,,12,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,0,0,0,0,0,0,0,1,5,3.3,A,1,1,riley-fox-1,Riley Fox,2025
23,23,26,2025-03-01,Yale,@,Harvard,REG (Conf),L 69-74,,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1.1,A,0,1,riley-fox-1,Riley Fox,2025
24,24,30,2025-03-20,Yale,N,Texas A&M,ROUND-64,L 71-80,,6,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,0,1,1,0,0,0,1,2,6,3.2,N,0,0,riley-fox-1,Riley Fox,2025
